,UF,Município,Estabelecimento,Tipo,Endereço
1232,PI,Batalha,"CAPS I DR JOSE DO REGO LAGES","CAPS I","CAPITAO AMARO MACHADO, 323 Bairro: CENTRO CEP: 64190000 Fone: 86 99812352"
1233,PI,"Bom Jesus","CAPS AD II REGIONAL DE BOM JESUS","CAPS AD","RUA EMERSON PARENTE, S/N Bairro: JUDITE PIAUILINO CEP: 64900000"
1234,PI,"Bom Jesus","CAPS DE BOM JESUS","CAPS I","RUA ARSENIO SANTOS, 764 Bairro: CENTRO CEP: 64900000"
1235,PI,"Buriti dos Lopes","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I DE B DOS LOPES","CAPS I","RUA EUCLIDES DE MIRANDA, 079 Bairro: CENTRO CEP: 64230000 Fone: (86)3363-1468"
1236,PI,"Campo Maior","CAPS II DE CAMPO MAIOR","CAPS I","RUA BENJAMIN CONSTANT, 724 Bairro: CENTRO CEP: 64280000 Fone: (86)3252 5527"
1237,PI,"Canto do Buriti","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I CANTO DO BURITI","CAPS I","AVENIDA GETULIO VARGAS, 974 Bairro: CENTRO CEP: 64890000 Fone: 89 35311499"
1238,PI,"Capitão de Campos","CENTRO DE ATENCAO PSICOSSOCIAL DE CAP DE CAMPOS CAPS I","CAPS I","AVENIDA SANTOS DUMONT, 17 Bairro: CENTRO CEP: 64270000 Fone: 86-9485-7717"
1239,PI,"Castelo do Piauí","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I DE CASTELO DO PIAUI","CAPS I","RUA TIRADENTES, 225 Bairro: CENTRO CEP: 64340000"
1240,PI,Cocal,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS I DE COCAL","CAPS I","CONJUNTO JOSE DA CUNHA FROTA, 01 Bairro: NOSSA SENHORA DE FAT CEP: 64235000"
1241,PI,Corrente,"CAPS I CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA ALEXANDRE SILVA, 10 Bairro: CENTRO CEP: 64980000"
1242,PI,"Cristino Castro","PABLO SILVA ROCHA CAPS","CAPS I","AV DAVID CAMPOS, S/N Bairro: CENTRO CEP: 64920000"
1243,PI,Esperantina,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS I DE ESPERANTINA","CAPS I","AVENIDA JUAREZ TAVORA, 100 Bairro: CENTRO CEP: 64180000"
1244,PI,Floriano,"CAPS AD III","CAPS AD III","AVENIDA PETRONIO PORTELA, 351 Bairro: TABOCA CEP: 64801370"
1245,PI,Floriano,"CAPS II CENTRO DE ATENCAO PSICOSSOCIAL DE FLORIANO","CAPS II","RUA FERNANDO MARQUES, 641 Bairro: CENTRO CEP: 64800066 Fone: 3521-3490"
1246,PI,Fronteiras,"CAPS I DE FRONTEIRAS","CAPS I","RUA 09 DE JUNHO, S/N Bairro: CENTRO CEP: 64690000"
1247,PI,Gilbués,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS I DE GILBUES","CAPS I","AVENIDA ZEFERINO VIEIRA, S/N Bairro: URBANO CEP: 64930000 Fone: 89 35781439"
1248,PI,Guadalupe,"CAPS DE GUADALUPE","CAPS I","QUADRA 37, 03 Bairro: CENTRO CEP: 64840000 Fone: 89-3552-1080"
1249,PI,Inhuma,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS I DE INHUMA","CAPS I","AV CASTELO BRANCO, S/N Bairro: CENTRO CEP: 64535000 Fone: 89 3477 1549"
1250,PI,Jaicós,"CAPS DE JAICOS PI","CAPS I","AV JOSE RETRAO DE OLIVEIRA, 240 Bairro: NOVA OLINDA CEP: 64575000"
1251,PI,"José de Freitas","CAPS DE JOSE DE FREITAS","CAPS I","RUA JOAQUIM SAMPAIO, S/N Bairro: SANTO ANTONIO CEP: 64110000 Fone: 08632641329"
1252,PI,"Luís Correia","CENTRO DE ACOMPANHAMENTO PSSICOSOCIAL DE LUIS CORREIA CAPS I","CAPS I","MANOEL ALVES, 809 Bairro: CENTRO CEP: 64220000"
1253,PI,Luzilândia,"CAPS DE LUZILANDIA","CAPS I","RUA EPITACIO PIRES DE MOURA, S/N Bairro: PROMORAR CEP: 64160000"
1254,PI,"Miguel Alves","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I MIGUEL ALVES","CAPS I","PRACA JOSE REGO, S/N Bairro: CENTRO CEP: 64130000 Fone: (86) 324-4165"
1255,PI,Oeiras,"CAPS DE OEIRAS","CAPS I","AV TOTONIO FREITAS, 105 Bairro: CENTRO CEP: 64500000 Fone: (89)34622467"
1256,PI,Parnaíba,"CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGA CAPS 24 H","CAPS AD III","BR 343, 2856 Bairro: SAO JUDAS TADEU CEP: 64206260"
1257,PI,Parnaíba,"CAPS II DR VALTERDES M DE SAMPAIO","CAPS II","RUA PAULO AIRTON GOUVEIA PACHECO, 788 Bairro: RODOVIARIA CEP: 64218660 Fone: (86)3323 4640"
1258,PI,Paulistana,"CAPS AD ALCOOL E DROGAS","CAPS AD","RUA GABRIEL FERREIRA, S/N Bairro: LAGOA CEP: 64750000 Fone: 89994399579"
1259,PI,Paulistana,"CAPS I INFANTO JUVENIL","CAPS i","RUA TIBERIO NUNES, S/N Bairro: COHAB CEP: 64750000 Fone: 89994399562"
1260,PI,Paulistana,"CAPS DE PAULISTANA","CAPS I","RUA ANTONIO FREIRE, S/N Bairro: SERTANEJO CEP: 64750000 Fone: 89994399522"
1261,PI,Paulistana,"CAPS II","CAPS II","AVENIDA MARECHAL DEODORO, 709 Bairro: LAGOA CEP: 64750000 Fone: 89994399603"
1262,PI,"Pedro II","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I DE PEDRO II","CAPS I","RUA MANOEL NOGUEIRA LIMA, 508 Bairro: CENTRO CEP: 64255000"
1263,PI,Picos,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS AD","CAPS AD","RUA DOM SEVERINO, S/N Bairro: JUNCO CEP: 64601530 Fone: 34229867"
1264,PI,Pimenteiras,"CENTRO DE ATENCAO PSICOSSOCIAL DE PIMENTEIRAS CAPS I","CAPS I","RUA PROJETADA 15, S/N Bairro: VILA NOVA CEP: 64320000"
1265,PI,"Pio IX","CAPS CENTRO DE ATENCAO PSICOSSOCIAL DE PIO IX","CAPS I","RUA PAULINO FRANCISCO DA SILVA, 301 Bairro: CENTRO CEP: 64660000 Fone: 89-3453 1764"
1266,PI,Piracuruca,"CENTRO DE ATENCAO PSICOSOCIAL CAPS I PIRACURUCA","CAPS I","RUA CEL TOTE MACHADO, 309 Bairro: CENTRO CEP: 64240000 Fone: 086-3343-1335"
1267,PI,Piripiri,"CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS CAPS AD","CAPS AD","RUA DIOGENES COELHO, 240 Bairro: CENTRO CEP: 64260000"
1268,PI,Piripiri,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS II DE PIRIPIRI","CAPS II","RUA CARLOS AUGUSTO DE R MONTE, 111 Bairro: PETECAS CEP: 64260000"
1269,PI,Regeneração,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS I REGENERACAO","CAPS I","RUA RAIMUNDO GOMES, 344 Bairro: CENTRO CEP: 64490000 Fone: 86-9925 4056"
1270,PI,"Rio Grande do Piauí","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I DE RIO GRANDE","CAPS I","RUA DO CRUZEIRO DO PIAUI, S/N Bairro: CENTRO CEP: 64835000 Fone: 89 35331390"
1271,PI,"São João do Piauí","CAPS I CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","TRAVESSA PEDRO BORGES, 336 Bairro: CENTRO CEP: 64760000 Fone: 8934831825"
1272,PI,"São Miguel do Tapuio","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I DE S M DO TAPUIO","CAPS I","R PEDRO II, S/N Bairro: CENTRO CEP: 64330000"
1273,PI,"São Pedro do Piauí","CENTRO DE ATENCAO PSICOSOCIAL DE SAO PEDRO DO PIAUI","CAPS I","RUA QUINTINO BOCAIUVA, 413 Bairro: CENTRO CEP: 64430000"
1274,PI,"São Raimundo Nonato","CENTRO DE ATENCAO PSICOSSOCIAL SAO RAIMUNDO NONATO","CAPS II","RUA CAP MILANEZ, S/N Bairro: CIPO CEP: 64770000"
1275,PI,"Simplício Mendes","CAPS I","CAPS I","SERGIO FERREIRA DE CARVALHO, 345 Bairro: NOVA CIDADE CEP: 64700000 Fone: 89-34821100"
1276,PI,Teresina,"CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGA DR CLIDENOR","CAPS AD","RUA QUINTINO BOCAIUVA, 2978 Bairro: MACAUBA CEP: 64016060 Fone: (86) 32157762"
1277,PI,Teresina,"CAPS INFANTO JUVENIL DR MARTINELLI CAVALCA","CAPS i","RUA JOSE SOARES FERRY, 2420 Bairro: PRIMAVERA CEP: 64002520"
1278,PI,Teresina,"CAPS II CENTRO NORTE","CAPS II","RUA PRESIDENTE LINCOLN, 4727 Bairro: SAO JOAQUIM CEP: 64004295 Fone: 86 3213 2080"
1279,PI,Teresina,"CAPS II LESTE SUDESTE","CAPS II","RUA VISCONDE DA PARNAIBA, 2435 Bairro: HORTO FLORESTAL CEP: 64049570 Fone: 32163967"
1280,PI,Teresina,"CENTRO DE ATENCAO PSICOSSOCIAL SUL","CAPS II","BARAO DE GURGUEIA, 2913 Bairro: PIO XII CEP: 64018500 Fone: 86 99345933"
1281,PI,Teresina,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS III SUL","CAPS III","COSTA RICA, 466 Bairro: TRES ANDARES CEP: 64018500 Fone: 86 32216422"
1282,PI,União,"CENTRO DE ATENCAO PSICOSSOCIAL EDSON SAMPAIO ALMEIDA","CAPS I","RUA SAO PAULO, S/N Bairro: SAO JUDAS TADEU CEP: 64120000 Fone: 32651434"
1283,PI,Uruçuí,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS URUCUI","CAPS I","RUA ALMIR COELHO, S/N Bairro: AREIAS CEP: 64860000 Fone: (89)5441397"
1284,PI,"Valença do Piauí","CAPS AD DE VALENCA DO PIAUI","CAPS AD","RUA SAO JOAO, 500 Bairro: CENTRO CEP: 64300000"
1285,PI,"Valença do Piauí","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I VALENCA","CAPS I","RUA EURIPEDES MARTINS, S/N Bairro: CENTRO CEP: 64300000"
1286,PR,"Almirante Tamandaré","CAPS II ALMIRANTE TAMANDARE","CAPS II","JOSE CARLOS COLODEL, 546 Bairro: VILA SANTA TEREZINHA CEP: 83501140 Fone: (41) 992473915"
1287,PR,Andirá,"CAPS I","CAPS I","RUA ALAGOAS, 001 Bairro: CENTRO CEP: 86380000 Fone: (43) 3538 3304"
1288,PR,Apucarana,"CAPS AD CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS","CAPS AD","RUA JAMIL SONI, 174 Bairro: CENTRO CEP: 86800660 Fone: 4339011048"
1289,PR,Apucarana,"CENTRO DE ATENCAO PSICOSSOCIAL INFANTO JUVENIL CAPS I","CAPS i","R CEL LUIZ JOSE DOS SANTOS, 265 Bairro: CENTRO CEP: 86800070 Fone: 4339011047"
1290,PR,Arapongas,"CAPS MARABU","CAPS AD","MARABU, 1405 Bairro: CENTRO CEP: 86700160 Fone: 39021823"
1291,PR,Arapongas,"CAPS II FLAMINGOS","CAPS II","TUCANOS, 882 Bairro: CENTRO CEP: 86700150 Fone: 39021182"
1292,PR,Arapoti,"CAPS I ARAPOTI","CAPS I","RUA JAURI VIANA ESTEVES, 1126 Bairro: CENTRO CEP: 84990000 Fone: 4335123067"
1293,PR,Araucária,"CENTRO DE ATENCAO PSICOSSOCIAL AD DE ARAUCARIA","CAPS AD","RUA PEDRO DRUSZCZ, S/N Bairro: CENTRO CEP: 83702080 Fone: 3614-7717"
1294,PR,Araucária,"CENTRO DE ATENCAO PSICOSSOCIAL TIPO II DE ARAUCARIA","CAPS II","RUA PROFESSOR ALFREDO PARODI, 30 Bairro: CENTRO CEP: 83702070 Fone: 41 3901-5128"
1295,PR,Astorga,"CAPS I AMOR E VIDA","CAPS I","JOAQUIM NABUCO, 380 Bairro: JARDIM SINUELO CEP: 86730000 Fone: (44) 31345299"
1296,PR,Bandeirantes,"CAPS I","CAPS I","EURIPEDES RODRIGUES, 160 Bairro: CENTRO CEP: 86360000 Fone: 35420917"
1297,PR,"Bela Vista do Paraíso","CAPS I DE BELA VISTA DO PARAISO","CAPS I","R XV DE NOVEMBRO, 198 Bairro: CENTRO CEP: 86130000 Fone: 4332423972"
1298,PR,"Bom Sucesso","CAPS I BOM SUCESSO","CAPS I","RUA JOSE FLAUZINO VILAS BOAS, 396 Bairro: BOM FIM CEP: 86940000 Fone: 43 3442 1769"
1299,PR,Cambé,"CAPSI CAMBE","CAPS i","RUA CURITIBA, 1067 Bairro: JD TUPY CEP: 86182470 Fone: (43)31740308"
1300,PR,Cambé,"CAPS ADULTO TIPO II","CAPS II","RUA FRANCA, 1099 Bairro: CENTRO CEP: 86181070 Fone: (43) 31740239"
1301,PR,Cambira,"CENTRO DE ATENCAO PSICOSSOCIAL REGIONAL NOVA MENTE","CAPS I","RUA NATAL, 05 Bairro: CENTRO CEP: 86890000 Fone: 4334361686"
1302,PR,"Campina Grande do Sul","CAPS I CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA JORGE BONN FILHO, 70 Bairro: JARDIM PAULISTA CEP: 83430000 Fone: 3679-2102"
1303,PR,"Campo Largo","CAPS AD CAMPO LARGO","CAPS AD","JOANIM STROPARO, 114 Bairro: VILA BANCARIA CEP: 83601460 Fone: 4132915274"
1304,PR,"Campo Largo","CAPS II CAMPO LARGO","CAPS II","FRANCISCO XAVIER DE ALMEIDA GARRET, S/N Bairro: CENTRO CEP: 83601230 Fone: (41)3291-5276"
1305,PR,"Campo Magro","CENTRO DE ATENDIMENTO PSICOSSOCIAL CAMPO MAGRO","CAPS I","ESTRADA DO CERNE, 18135 Bairro: CENTRO CEP: 83535000 Fone: 36779018"
1306,PR,"Campo Mourão","CAPS AD","CAPS AD","AV GUILHERME DE PAULA XAVIER, 1375 Bairro: CENTRO CEP: 87302050 Fone: 44-3523-8901"
1307,PR,"Campo Mourão",ACOLHER,"CAPS II","RUA MATO GROSSO, 2622 Bairro: CENTRO CEP: 87303160 Fone: (44) 3525-5631"
1308,PR,Cascavel,"CAPS AD CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS","CAPS AD","RUA SANTA CATARINA, 107 Bairro: CENTRO CEP: 85801040 Fone: (45) 3902-1898"
1309,PR,Cascavel,"CAPSI CENTRO ATENCAO PSICOSSOCIAL INFANCIA E ADOLESCENCIA","CAPS i","RUA JOSE DE SA CAVALCANTI, 552 Bairro: CLAUDETE CEP: 85811440 Fone: (45) 3392-6595"
1310,PR,Cascavel,"CAPS III CENTRO DE ATENCAO PSICOSSOCIAL","CAPS III","RUA CUIABA, 4294 Bairro: CIRO NARDI CEP: 85802030 Fone: (45) 3902-2660"
1311,PR,Castro,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","CIPRIANO MARQUES DE SOUZA, 116 Bairro: CENTRO CEP: 84165000 Fone: 42-2122-5250"
1312,PR,Chopinzinho,"CAPS I ANDRE MENEGUZZI","CAPS I","CORONEL SANTIAGO DANTAS, 4864 Bairro: CENTRO CEP: 85560000 Fone: (46)32421511"
1313,PR,Cianorte,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS I","CAPS I","RUA TIRADENTES, 84 Bairro: ZONA 01 CEP: 87200338 Fone: (44)- 39031184"
1314,PR,Colombo,"CAPS AD COLOMBO","CAPS AD","RUA RAFAEL FRANCISCO GRECA, 150 Bairro: SAO GABRIEL CEP: 83405250 Fone: (41) 988653492"
1315,PR,Colombo,"CAPS II COLOMBO","CAPS II","RUA SUDAO, 820 Bairro: RIO VERDE CEP: 83404270 Fone: (41) 3606-2911"
1316,PR,Colorado,"CAPS COLORADO","CAPS I","RUA DEPUTADO BRANCO MENDES, 1700 Bairro: MORADA DO SOL CEP: 86690000 Fone: 44 3323 3172"
1317,PR,Congonhinhas,"CAPS A D III DE CONGONHINHAS","CAPS AD III","RUA FREI DEMETRIO, 380 Bairro: CENTRO CEP: 86320000 Fone: 43 35541781"
1318,PR,Contenda,"CAPS CONTENDA","CAPS I","RUA EUCARIO TERESIO DE CARVALHO, 267 Bairro: CENTRO CEP: 83730000 Fone: 4136252335"
1319,PR,"Cornélio Procópio","CAPS II","CAPS II","AVENIDA ANTONIO PAIVA JUNIOR, 56 Bairro: CENTRO CEP: 86300000 Fone: 433523-8903"
1320,PR,"Coronel Vivida","CAPS CENTRO DE ATENCAO PSICOSSOCIAL DE CORONEL VIVIDA","CAPS I","AVENIDA GENEROSO MARQUES, S/N Bairro: SCHIAVINI CEP: 85550000"
1321,PR,Curitiba,"CAPS CIC","CAPS AD","RUA EDUARDO SPRADA, 4459 Bairro: CIC CEP: 81270010 Fone: 041 32452171"
1322,PR,Curitiba,"UNIICA BOM RETIRO DOM JOAO BOSCO OLIVER DE FARIA","CAPS AD","ELEONORA MURICY NOVAES, 171 Bairro: JARDIM BOTANICO CEP: 80210131 Fone: 41 32001900"
1323,PR,Curitiba,"CAPS MATRIZ","CAPS AD","RUA ILHA DE GRANADA, 36 Bairro: JARDIM SOCIAL CEP: 82520170 Fone: 041-33630492"
1324,PR,Curitiba,"CAPS PINHEIRINHO","CAPS AD III","AVENIDA IGUACU, 3681 Bairro: VILA IZABEL CEP: 80240031 Fone: (41)33434589"
1325,PR,Curitiba,"CAPS BAIRRO NOVO","CAPS AD III","AL NOSSA SENHORA DO SAGRADO CORACAO, 771 Bairro: PINHEIRINHO CEP: 81870010 Fone: 3349-7644"
1326,PR,Curitiba,"CAPS INFANTIL BOA VISTA","CAPS AD III","RUA PERU, 230 Bairro: BACACHERI CEP: 82510140 Fone: 33574968"
1327,PR,Curitiba,"CAPS CAJURU","CAPS AD III","RUA GENERAL ADALBERTO GONCALVES DE MENEZES, 435 Bairro: GUABIROTUBA CEP: 82800080 Fone: 41-32965800"
1328,PR,Curitiba,"CAPS INFANTIL CENTRO VIDA","CAPS i","RUA CORONEL HOCHE PEDRA PIRES, 475 Bairro: VILA IZABEL CEP: 80240510 Fone: 041-333402121"
1329,PR,Curitiba,"CENTRO PSIQUIATRICO METROPOLITANO","CAPS i","TRAVESSA JOAO PROSDOCIMO, 139 Bairro: ALTO DA XV CEP: 80045145 Fone: (41) 3264 - 6462"
1330,PR,Curitiba,"CAPS INFANTIL PINHEIRINHO","CAPS i","RUA NOSSA SENHORA DO PERPETUO SOCORRO, 201 Bairro: PINHEIRINHO CEP: 81130150 Fone: (41)32121433"
1331,PR,Curitiba,"UNIICA BOM RETIRO DOM JOAO BOSCO OLIVER DE FARIA","CAPS II","ELEONORA MURICY NOVAES, 171 Bairro: JARDIM BOTANICO CEP: 80210131 Fone: 41 32001900"
1332,PR,Curitiba,"CAPS SANTA FELICIDADE","CAPS II","RUA JOSEFINA ROCHA, 300 Bairro: BATEL CEP: 80440190 Fone: 041-33402192"
1333,PR,Curitiba,"CAPS PORTAO","CAPS II","NUNES MACHADO, 1796 Bairro: REBOUCAS CEP: 80240000 Fone: 33331978"
1334,PR,Curitiba,"CAPS BOA VISTA","CAPS III","RUA HOLANDA, 288 Bairro: BACACHERI CEP: 82510190 Fone: 3257-1932"
1335,PR,Curitiba,"CAPS BOQUEIRAO","CAPS III","CARLOS DE LAET, 6270 Bairro: HAUER CEP: 81710365 Fone: 41 32782494"
1336,PR,"Dois Vizinhos","CENTRO DE ATENCAO PSICOSSOCIAL DE DOIS VIZINHOS","CAPS I","RUA DO COMERCIO, 000 Bairro: CENTRO CEP: 85660000 Fone: 04635366645"
1337,PR,"Fazenda Rio Grande","CAPS II FAZENDA RIO GRANDE","CAPS II","RUA SERINGUEIRA, 489 Bairro: EUCALIPTOS CEP: 83820536 Fone: 3604-2788"
1338,PR,Florestópolis,"CAPS I DE FLORESTOPOLIS","CAPS I","RUA SAO JOAO, 333 Bairro: CENTRO CEP: 86165000 Fone: 43 3662 1222"
1339,PR,"Foz do Iguaçu","CENTRO DE ATENCAO PSICOSSOCIAL DOUGLAS BITTENCOURT CAPS AD","CAPS AD","AVENIDA PORTUGUAL, 723 Bairro: POLO CENTRO CEP: 85853250 Fone: 45- 35219531"
1340,PR,"Foz do Iguaçu","CAPS II","CAPS II","RUA LAMARTINE BABO, 780 Bairro: PARQUE MONJOLO CEP: 85864330 Fone: (45) 3901-3556"
1341,PR,"Francisco Beltrão","CAPS AD II IRMA ALIX BENTO","CAPS AD","RUA MARAHAO ESQUINA COM MARINGA, 1400 Bairro: VILA NOVA CEP: 85601060 Fone: (46)3524-3619"
1342,PR,"Francisco Beltrão","CENTRO DE ATENCAO PSICOSOCIAL DR WALTER ALBERTO PECOITS","CAPS II","RODOVIA CONTORNO VITORIO TRAIANO, 501 Bairro: AGUA BRANCA CEP: 85601970 Fone: 46 35200900"
1343,PR,Goioerê,"CAPS DE GOIOERE","CAPS I","RUA RIO DE JANEIRO, 100 Bairro: JARDIM LINDOIA CEP: 87360000 Fone: (44) 3522-7610"
1344,PR,Guaíra,"CAPS I DOCE LAR","CAPS I","RUA PARAGUAI, 1317 Bairro: CENTRO CEP: 85980000 Fone: (44)3642-3318"
1345,PR,Guarapuava,"CAPS AD GUARAPUAVA","CAPS AD","RUA CINCO DE OUTUBRO, 1338 Bairro: TRIANON CEP: 85012050 Fone: (42)36214528"
1346,PR,Guarapuava,"CAPS II GUARAPUAVA","CAPS II","RUA PADRE CHAGAS, 2568 Bairro: CENTRO CEP: 85012050 Fone: (42) 3622-1427"
1347,PR,Guaratuba,"CENTRO DE ATENCAO PSICOSSOCIAL RECOMECO","CAPS I","GENEROSO MARQUES, 417 Bairro: CENTRO CEP: 83280000 Fone: (41) 3472-8677"
1348,PR,Ibiporã,"CAPS INFANTIL IRMA ANALIA DOS SANTOS","CAPS i","RUA SAO VICENTE DE PAULA, 215 Bairro: SEMPREBOM CEP: 86200000 Fone: 043 31780341"
1349,PR,Ibiporã,"CAPS I CECILIA PERUCO DELIBERADOR","CAPS I","RUA FRANCISCO CANDIDO PEREIRA, 22 Bairro: CENTRO CEP: 86200000 Fone: 043 31780367"
1350,PR,Irati,"CENTRO DE ATENCAO PSICOSSOCIAL","CAPS II","RUA JOAO CANDIDO FERREIRA, 40 Bairro: CENTRO CEP: 84500004 Fone: 4234229028"
1351,PR,Itaperuçu,"CAPS 1 ITAPERUCU","CAPS I","RUA ANITA GARIBALDI, 70 Bairro: JD SANTA MARIA CEP: 83560000 Fone: 4136031954"
1352,PR,Ivaiporã,"CAPS NOVA VIDA","CAPS I","AVENIDA TANCREDO NEVES, 4250 Bairro: CENTRO CEP: 86870000 Fone: 43-34720090"
1353,PR,Jacarezinho,"CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA DR HERACLIO GOMES, 468 Bairro: CENTRO CEP: 86400000"
1354,PR,Jaguariaíva,"CENTRO DE ATENCAO PSICOSSOCIAL VOVO TONICA","CAPS I","R DURVALINO AZEVEDO, S/N Bairro: FLUVIOPOLIS CEP: 84200000"
1355,PR,Kaloré,"CAPS I INTERMUNICIPAL DE KALORE","CAPS I","RUA DR OTAVIO, 15 Bairro: VILA SAO CARLOS CEP: 86920000 Fone: (43)34531528"
1356,PR,Lapa,"CAPS I CENTRO DE ATENCAO PSICOSSOCIAL LAPA PR","CAPS I","RUA 13 DE MAIO, 1947 Bairro: CENTRO CEP: 83750000 Fone: 3547-5040"
1357,PR,"Laranjeiras do Sul","CAPS LARANJEIRAS DO SUL","CAPS I","RUA BARAO DO RIO BRANCO, S/N Bairro: CENTRO CEP: 85301030 Fone: 4236357582"
1358,PR,Loanda,"CAPS I DE LOANDA","CAPS I","RUA ARAGUAIA, S/N Bairro: CENTRO CEP: 87900000 Fone: (44) 34251990"
1359,PR,Londrina,"CAPS AD ALCOOL E DROGAS DE LONDRINA","CAPS AD","RUA DUQUES DE CAXIAS, 2575 Bairro: CENTRO CEP: 86010190 Fone: (43)3379-0877"
1360,PR,Londrina,"CAPS AD III ADULTO CIS CENTRO OESTE","CAPS AD III","RUA PROFESSORA LEONIDIA, 1203 Bairro: CENTRO CEP: 85010230 Fone: 42 36239580"
1361,PR,Londrina,"CAPS AD III INFANTO JUVENIL CIS CENTRO OESTE","CAPS AD III","RUA PEDRO ALVES, 1203 Bairro: CENTRO CEP: 85010080 Fone: 42 36235826"
1362,PR,Londrina,"CAPS I NUCL ATENCAO PSICO SOCIAL A CRIANCA E ADOLESCENTE","CAPS i","RUA JOA, 46 Bairro: VILA NOVA CEP: 86025770 Fone: (43)3379-0739"
1363,PR,Londrina,"CAPS III CENTRO DE ATENCAO PSICOSOCIAL","CAPS III","RUA ALBA BORTOLETTI CLIVATI, 186 Bairro: ALTO BOA VISTA CEP: 86010100 Fone: (43) 3347-1448"
1364,PR,Mamborê,"CAPS ARTE DE VIVER","CAPS I","AVENIDA SAO JOSAFAT, 2178 Bairro: ALTO DA GLORIA CEP: 87340000 Fone: (44) 35681334"
1365,PR,Mandaguari,"CAPS I CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA JOAO ERNESTO FERREIRA, 661 Bairro: CENTRO CEP: 86975000 Fone: 4432339405"
1366,PR,Marialva,"CAPS I CENTRO DE ATENDIMENTO PSICOSSOCIAL MARIALVA PR","CAPS I","PRACA ADEMAR BORNIA, 112 Bairro: CENTRO CEP: 86990000 Fone: 0(**) 44 - 3232 - 2291"
1367,PR,Maringá,"CAPS AD II CENTRO DE ATENCAO PSICOSSOCIAL PARA ALCOOL E OU","CAPS AD","RUA PIONEIRO JOAO JOSE QUEIROZ, 650 Bairro: SANTA FELICIDADE CEP: 87053170 Fone: (44) 33094503"
1368,PR,Maringá,"CAPSI CENTRO DE ATENCAO PSICOSSOCIAL INFANTIL","CAPS i","RUA PIONEIRO JOAO JOSE QUEIROZ, 650 Bairro: JARDIM SANTA FELICID CEP: 87053170 Fone: 44 33094498"
1369,PR,Maringá,"CAPS II CANCAO","CAPS II","RUA SANTA JOAQUINA DE VEDRUNA, 1165 Bairro: ZONA 05 CEP: 87015150"
1370,PR,Marmeleiro,"CAPS AD III REGIONAL","CAPS AD III","RUA RIGOLETO ANDREOLI, 17 Bairro: CENTRO CEP: 85615000 Fone: 35245335"
1371,PR,Marmeleiro,"CENTRO DE ATENCAO PSICOSSOCIAL DE MARMELEIRO","CAPS I","RUA SEIS, 657 Bairro: CENTRO CEP: 85615000 Fone: 46 3525-2674"
1372,PR,Medianeira,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS","CAPS I","RUA RUI BARBOSA COM AV BRASIL, 1700 Bairro: ITAIPU CEP: 85884000 Fone: 45 -32644440"
1373,PR,"Nova Esperança","CAPS NOVA ESPERANCA","CAPS I","AVENIDA SANTOS DUMONT, 1100 Bairro: CENTRO CEP: 87600000 Fone: 044 32523974"
1374,PR,Ortigueira,"CAPS VEREADOR MAURI CORDEIRO","CAPS I","RUA TRAVESSA JOACIR MARCONDES TEIXEIRA, 88 Bairro: CENTRO CEP: 84350000 Fone: 42 3277 1263"
1375,PR,Paiçandu,"CAPS I PAICANDU","CAPS I","RUA SETE SETEMBRO, 683 Bairro: CENTRO CEP: 87140000 Fone: (44) 3244-2346"
1376,PR,Palmeira,"CAPS DR HOMERO DIAS BAPTISTA","CAPS I","RUA CORONEL VIDA, 496 Bairro: CENTRO CEP: 84130000 Fone: 4239095078"
1377,PR,Palotina,"CAPS 1 CENTRO DE ATENCAO PSICOSSOCIAL DE PALOTINA","CAPS I","RUA VEREADOR ANTONIO POZZAN, 609 Bairro: CENTRO CEP: 85950000 Fone: 4436497161"
